"Function","StatementID","Filename","Suspiciousness","Rank","StatementCount","CaseApplication"
"Jaccard","S13","edu.allegheny.listswap.ListSwapGenerator.java","1.0","1","39","ListswapResults.csv"
"Jaccard","S15","edu.allegheny.listswap.ListSwapGenerator.java","1.0","2","39","ListswapResults.csv"
"Jaccard","S4","edu.allegheny.listswap.ListSwapGenerator.java","0.7142857142857143","3","39","ListswapResults.csv"
"Jaccard","S5","edu.allegheny.listswap.ListSwapGenerator.java","0.7142857142857143","4","39","ListswapResults.csv"
"Jaccard","S6","edu.allegheny.listswap.ListSwapGenerator.java","0.7142857142857143","5","39","ListswapResults.csv"
"Jaccard","S7","edu.allegheny.listswap.ListSwapGenerator.java","0.7142857142857143","6","39","ListswapResults.csv"
"Jaccard","S8","edu.allegheny.listswap.ListSwapGenerator.java","0.7142857142857143","7","39","ListswapResults.csv"
"Jaccard","S10","edu.allegheny.listswap.ListSwapGenerator.java","0.7142857142857143","8","39","ListswapResults.csv"
"Jaccard","S11","edu.allegheny.listswap.ListSwapGenerator.java","0.7142857142857143","9","39","ListswapResults.csv"
"Jaccard","S16","edu.allegheny.listswap.ListSwapGenerator.java","0.7142857142857143","10","39","ListswapResults.csv"
"Jaccard","S1","edu.allegheny.listswap.ListSwapGenerator.java","0.5555555555555556","11","39","ListswapResults.csv"
"Jaccard","S9","edu.allegheny.listswap.ListSwapGenerator.java","0.5555555555555556","12","39","ListswapResults.csv"
"Jaccard","S1","edu.allegheny.listswap.Fish.java","0.2","13","39","ListswapResults.csv"
"Jaccard","S2","edu.allegheny.listswap.Fish.java","0.2","14","39","ListswapResults.csv"
"Jaccard","S3","edu.allegheny.listswap.Fish.java","0.2","15","39","ListswapResults.csv"
"Jaccard","S4","edu.allegheny.listswap.Fish.java","0.2","16","39","ListswapResults.csv"
"Jaccard","S1","edu.allegheny.listswap.Bear.java","0.2","17","39","ListswapResults.csv"
"Jaccard","S2","edu.allegheny.listswap.Bear.java","0.2","18","39","ListswapResults.csv"
"Jaccard","S3","edu.allegheny.listswap.Bear.java","0.2","19","39","ListswapResults.csv"
