"Function","StatementID","Filename","Suspiciousness","Rank","StatementCount","CaseApplication"
"Kulczynski 2","S1","edu.allegheny.listswap.ListSwapGenerator.java","1.0","1","39","Listswap"
"Kulczynski 2","S9","edu.allegheny.listswap.ListSwapGenerator.java","1.0","2","39","Listswap"
"Kulczynski 2","S4","edu.allegheny.listswap.ListSwapGenerator.java","0.8","3","39","Listswap"
"Kulczynski 2","S5","edu.allegheny.listswap.ListSwapGenerator.java","0.8","4","39","Listswap"
"Kulczynski 2","S6","edu.allegheny.listswap.ListSwapGenerator.java","0.8","5","39","Listswap"
"Kulczynski 2","S7","edu.allegheny.listswap.ListSwapGenerator.java","0.8","6","39","Listswap"
"Kulczynski 2","S8","edu.allegheny.listswap.ListSwapGenerator.java","0.8","7","39","Listswap"
"Kulczynski 2","S10","edu.allegheny.listswap.ListSwapGenerator.java","0.8","8","39","Listswap"
"Kulczynski 2","S11","edu.allegheny.listswap.ListSwapGenerator.java","0.8","9","39","Listswap"
"Kulczynski 2","S16","edu.allegheny.listswap.ListSwapGenerator.java","0.8","10","39","Listswap"
"Kulczynski 2","S13","edu.allegheny.listswap.ListSwapGenerator.java","0.6000000000000001","11","39","Listswap"
"Kulczynski 2","S15","edu.allegheny.listswap.ListSwapGenerator.java","0.6000000000000001","12","39","Listswap"
"Kulczynski 2","S5","edu.allegheny.listswap.CSVListIO.java","0.2","13","39","Listswap"
"Kulczynski 2","S7","edu.allegheny.listswap.CSVListIO.java","0.2","14","39","Listswap"
"Kulczynski 2","S1","edu.allegheny.listswap.Fish.java","0.12000000000000002","15","39","Listswap"
"Kulczynski 2","S2","edu.allegheny.listswap.Fish.java","0.12000000000000002","16","39","Listswap"
"Kulczynski 2","S3","edu.allegheny.listswap.Fish.java","0.12000000000000002","17","39","Listswap"
"Kulczynski 2","S4","edu.allegheny.listswap.Fish.java","0.12000000000000002","18","39","Listswap"
"Kulczynski 2","S1","edu.allegheny.listswap.Bear.java","0.12000000000000002","19","39","Listswap"
"Kulczynski 2","S2","edu.allegheny.listswap.Bear.java","0.12000000000000002","20","39","Listswap"
"Kulczynski 2","S3","edu.allegheny.listswap.Bear.java","0.12000000000000002","21","39","Listswap"
"Kulczynski 2","S4","edu.allegheny.listswap.Bear.java","0.12000000000000002","22","39","Listswap"
"Kulczynski 2","S2","edu.allegheny.listswap.CSVListIO.java","0.1","23","39","Listswap"
"Kulczynski 2","S4","edu.allegheny.listswap.CSVListIO.java","0.1","24","39","Listswap"
"Kulczynski 2","S8","edu.allegheny.listswap.CSVListIO.java","0.1","25","39","Listswap"
"Kulczynski 2","S9","edu.allegheny.listswap.CSVListIO.java","0.1","26","39","Listswap"
"Kulczynski 2","S10","edu.allegheny.listswap.CSVListIO.java","0.1","27","39","Listswap"
"Kulczynski 2","S11","edu.allegheny.listswap.CSVListIO.java","0.1","28","39","Listswap"
"Kulczynski 2","S14","edu.allegheny.listswap.CSVListIO.java","0.1","29","39","Listswap"
"Kulczynski 2","S15","edu.allegheny.listswap.CSVListIO.java","0.1","30","39","Listswap"
"Kulczynski 2","S16","edu.allegheny.listswap.CSVListIO.java","0.1","31","39","Listswap"
"Kulczynski 2","S17","edu.allegheny.listswap.CSVListIO.java","0.1","32","39","Listswap"
"Kulczynski 2","S19","edu.allegheny.listswap.CSVListIO.java","0.1","33","39","Listswap"
"Kulczynski 2","S21","edu.allegheny.listswap.CSVListIO.java","0.1","34","39","Listswap"
"Kulczynski 2","S22","edu.allegheny.listswap.CSVListIO.java","0.1","35","39","Listswap"
"Kulczynski 2","S23","edu.allegheny.listswap.CSVListIO.java","0.1","36","39","Listswap"
"Kulczynski 2","S24","edu.allegheny.listswap.CSVListIO.java","0.1","37","39","Listswap"
"Kulczynski 2","S25","edu.allegheny.listswap.CSVListIO.java","0.0","38","39","Listswap"
"Kulczynski 2","S26","edu.allegheny.listswap.CSVListIO.java","0.0","39","39","Listswap"
"Ample","S13","edu.allegheny.listswap.ListSwapGenerator.java","1.0","1","39","Listswap"
"Ample","S15","edu.allegheny.listswap.ListSwapGenerator.java","1.0","2","39","Listswap"
"Ample","S4","edu.allegheny.listswap.ListSwapGenerator.java","0.75","3","39","Listswap"
"Ample","S5","edu.allegheny.listswap.ListSwapGenerator.java","0.75","4","39","Listswap"
"Ample","S6","edu.allegheny.listswap.ListSwapGenerator.java","0.75","5","39","Listswap"
"Ample","S7","edu.allegheny.listswap.ListSwapGenerator.java","0.75","6","39","Listswap"
"Ample","S8","edu.allegheny.listswap.ListSwapGenerator.java","0.75","7","39","Listswap"
"Ample","S10","edu.allegheny.listswap.ListSwapGenerator.java","0.75","8","39","Listswap"
"Ample","S11","edu.allegheny.listswap.ListSwapGenerator.java","0.75","9","39","Listswap"
"Ample","S16","edu.allegheny.listswap.ListSwapGenerator.java","0.75","10","39","Listswap"
"Ample","S1","edu.allegheny.listswap.ListSwapGenerator.java","0.5000000000000001","11","39","Listswap"
"Ample","S9","edu.allegheny.listswap.ListSwapGenerator.java","0.5000000000000001","12","39","Listswap"
"Ample","S1","edu.allegheny.listswap.Fish.java","0.4","13","39","Listswap"
"Ample","S2","edu.allegheny.listswap.Fish.java","0.4","14","39","Listswap"
"Ample","S3","edu.allegheny.listswap.Fish.java","0.4","15","39","Listswap"
"Ample","S4","edu.allegheny.listswap.Fish.java","0.4","16","39","Listswap"
"Ample","S1","edu.allegheny.listswap.Bear.java","0.4","17","39","Listswap"
"Ample","S2","edu.allegheny.listswap.Bear.java","0.4","18","39","Listswap"
"Ample","S3","edu.allegheny.listswap.Bear.java","0.4","19","39","Listswap"
"Ample","S4","edu.allegheny.listswap.Bear.java","0.4","20","39","Listswap"
"Ample","S25","edu.allegheny.listswap.CSVListIO.java","0.25","21","39","Listswap"
"Ample","S26","edu.allegheny.listswap.CSVListIO.java","0.25","22","39","Listswap"
"Ample","S2","edu.allegheny.listswap.CSVListIO.java","0.125","23","39","Listswap"
"Ample","S4","edu.allegheny.listswap.CSVListIO.java","0.125","24","39","Listswap"
"Ample","S8","edu.allegheny.listswap.CSVListIO.java","0.125","25","39","Listswap"
